player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Brandon Miller,https://www.basketball-reference.com/players/m/millebr02.html,32.6,8.2,18.8,2.1
Anthony Black,https://www.basketball-reference.com/players/b/blackan01.html,34.9,5.1,12.8,3.9
Jarace Walker,https://www.basketball-reference.com/players/w/walkeja02.html,27.6,6.8,11.2,1.8
Taylor Hendricks,https://www.basketball-reference.com/players/h/hendrita01.html,34.7,7.0,15.1,1.4
Cason Wallace,https://www.basketball-reference.com/players/w/wallaca01.html,32.2,3.7,11.7,4.3
Jett Howard,https://www.basketball-reference.com/players/h/howarje01.html,31.8,2.8,14.2,2.0
Dereck Lively II,https://www.basketball-reference.com/players/l/livelde01.html,20.6,5.4,5.2,1.1
Gradey Dick,https://www.basketball-reference.com/players/d/dickgr01.html,32.7,5.1,14.1,1.7
Jordan Hawkins,https://www.basketball-reference.com/players/h/hawkijo01.html,23.2,3.0,11.8,1.0
Kobe Bufkin,https://www.basketball-reference.com/players/b/bufkiko01.html,23.3,3.0,9.0,1.7
Keyonte George,https://www.basketball-reference.com/players/g/georgke01.html,28.6,4.2,15.3,2.8
Jalen Hood-Schifino,https://www.basketball-reference.com/players/h/hoodsja01.html,33.1,4.1,13.5,3.7
Jaime Jaquez Jr.,https://www.basketball-reference.com/players/j/jaqueja01.html,31.4,6.3,13.4,2.0
Brandin Podziemski,https://www.basketball-reference.com/players/p/podzibr01.html,25.4,6.1,13.7,2.5
Cam Whitmore,https://www.basketball-reference.com/players/w/whitmca01.html,27.3,5.3,12.5,0.7
Noah Clowney,https://www.basketball-reference.com/players/c/clownno01.html,25.4,7.9,9.8,0.8
Dariq Whitehead,https://www.basketball-reference.com/players/w/whiteda01.html,20.6,2.4,8.3,1.0
Kris Murray,https://www.basketball-reference.com/players/m/murrakr01.html,21.8,5.0,12.1,1.2
Olivier-Maxence Prosper,https://www.basketball-reference.com/players/p/prospol01.html,21.4,3.5,8.0,0.7
Marcus Sasser,https://www.basketball-reference.com/players/s/sassema01.html,29.3,2.7,13.6,2.4
Ben Sheppard,https://www.basketball-reference.com/players/s/sheppbe01.html,26.0,3.9,12.2,1.8
Nick Smith Jr.,https://www.basketball-reference.com/players/s/smithni01.html,25.8,1.6,12.5,1.7
Brice Sensabaugh,https://www.basketball-reference.com/players/s/sensabr01.html,24.5,5.4,16.3,1.2
Julian Strawther,https://www.basketball-reference.com/players/s/strawju01.html,23.4,4.6,10.9,0.9
Kobe Brown,https://www.basketball-reference.com/players/b/brownko01.html,25.1,6.0,10.8,1.7
Jalen Pickett,https://www.basketball-reference.com/players/p/pickeja02.html,36.9,5.4,15.3,5.8
Colby Jones,https://www.basketball-reference.com/players/j/jonesco02.html,32.7,6.2,12.3,3.6
Julian Phillips,https://www.basketball-reference.com/players/p/phillju01.html,24.1,4.7,8.3,1.4
Andre Jackson Jr.,https://www.basketball-reference.com/players/j/jacksan01.html,26.7,5.8,6.0,3.5
Hunter Tyson,https://www.basketball-reference.com/players/t/tysonhu01.html,20.1,4.8,8.1,0.8
Jordan Walsh,https://www.basketball-reference.com/players/w/walshjo01.html,24.4,3.9,7.1,0.9
Mouhamed Gueye,https://www.basketball-reference.com/players/g/gueyemo02.html,26.9,6.7,10.7,1.2
Maxwell Lewis,https://www.basketball-reference.com/players/l/lewisma05.html,26.6,4.7,14.6,2.2
Amari Bailey,https://www.basketball-reference.com/players/b/baileam01.html,26.9,3.8,11.2,2.2
